ds,yhat,yhat_lower,yhat_upper
2025-01-01,37.656765,9.797749996518741,67.15141223413056
2025-01-08,38.90763413043478,8.744670192511117,67.87854114417591
2025-01-15,40.158503261181366,12.439618682089952,68.24017206871626
2025-01-22,41.4093723909352,12.553613364684157,70.19702478810122
2025-01-29,42.66024152059588,13.3079773295289,70.89104317810856
2025-02-05,43.911110649113354,14.697317063881549,71.98081144617295
2025-02-12,45.161979776105994,17.761476919953687,73.46429635505413
2025-02-19,46.41284890326769,17.493805278061046,74.16223148175601
2025-02-26,47.6637180315351,16.60077147221399,76.98154694204216
2025-03-05,48.914587158909,20.592718617680106,79.22707829310437
2025-03-12,50.16545628621547,21.627847488530936,77.3693195765041
2025-03-19,51.416325414700594,23.86218981599835,79.058617249154
2025-03-26,52.667194543872974,24.149930532332725,80.09492256684615
2025-04-02,53.91806367295628,25.957893496909225,83.2373026325812
2025-04-09,55.16893280378807,28.229852170331405,83.14542948446287
2025-04-16,56.41980193378189,27.35362526244999,83.04220186710043
2025-04-23,57.67067106345914,27.739929103652038,86.28384253314081
2025-04-30,58.921540194571,30.848561211330004,88.21517770015535
2025-05-07,60.17240932573228,32.23741982446573,87.58236206728957
2025-05-14,61.423278458346644,33.80213784398578,89.4297191546082
2025-05-21,62.674147590961006,35.17131711468418,90.2567241161828
2025-05-28,63.925016723575375,36.27245421566986,92.88254424706645
2025-06-04,65.17588585618974,37.52499954762761,92.9905792438508
2025-06-11,66.42675498880409,37.72095204791036,95.49532517335432
2025-06-15,67.14153735029802,39.25280687870417,95.50590339283917
2025-06-22,68.39240648291239,39.335677789538394,98.48833618566375
2025-06-29,69.64327561552675,42.25025233240445,98.12644167794231
2025-07-06,70.89414474814112,43.48834942198956,98.93026223148414
