ds,yhat,yhat_lower,yhat_upper
2025-01-01,45.481996,10.42513541416706,79.14409016878358
2025-01-08,46.03810765217391,11.11753838889882,81.12506435463199
2025-01-15,46.59421930215693,12.787686660131941,81.72471624323724
2025-01-22,47.150330951009884,13.305823194742922,80.26058491845338
2025-01-29,47.706442602534665,12.693447677657437,80.77029580124649
2025-02-05,48.26255425709329,14.283429972594469,85.29801014801008
2025-02-12,48.81866590936057,12.805798366613157,83.75544791684165
2025-02-19,49.37477756101211,13.877303134972824,81.47982006423885
2025-02-26,49.93088921149413,16.003043346651268,85.42021952387935
2025-03-05,50.487000861940196,14.920969890604255,85.34457554100523
2025-03-12,51.0431125109115,16.535242665553135,85.10894559608766
2025-03-19,51.59922416173926,17.97581456112904,86.22694417455125
2025-03-26,52.15533581428947,17.35278837743425,87.88144231180327
2025-04-02,52.71144746890597,19.243040040986536,86.28141889526152
2025-04-09,53.26755912538937,18.888384294384693,87.4639825130956
2025-04-16,53.82367078306729,19.027459906877347,88.56566246539418
2025-04-23,54.379782440523,19.58484715530795,87.55433066485898
2025-04-30,54.93589409827094,21.719279837572707,89.25589733765452
2025-05-07,55.492005753232974,23.15217554975402,87.93486331350275
2025-05-14,56.04811740515357,21.283814013115045,90.85743371947994
2025-05-21,56.604229057074186,23.976771091365897,89.4446444234064
2025-05-28,57.16034070899478,24.303926796424847,90.98785548860472
2025-06-04,57.7164523609154,24.988272033470007,94.14145183576359
2025-06-11,58.27256401283599,23.77492534647286,92.07429238639607
2025-06-15,58.59034209964778,22.217380409675712,91.93344009652598
2025-06-22,59.14645375156838,24.598929350912407,94.01530417318862
2025-06-29,59.70256540348899,26.92714613857052,95.93593797277609
2025-07-06,60.25867705540959,28.027199923208126,93.76821773953111
